"","No","Q_Y","Q","M_Y","Period","diff_gap","diff_oil","diff_exchange","diff_VNI","diff_CPI","diff._goldreserve","diff_interest","log_M2","diff_demandVN"
"1148",1148,"Q2-2014","Q2","6-2014",41795,-222918.162918162,-0.0999999999999943,20,-2.36000000000001,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1149",1149,"Q2-2014","Q2","6-2014",41796,353342.657342661,0.149999999999991,-20,7.93999999999994,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1150",1150,"Q2-2014","Q2","6-2014",41799,-30825.1748251803,1.77000000000001,30,6.57000000000005,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1151",1151,"Q2-2014","Q2","6-2014",41800,-76161.7841617838,-0.0700000000000074,-5,1.27999999999997,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1152",1152,"Q2-2014","Q2","6-2014",41801,284452.466452468,0.0200000000000102,10,3.47000000000003,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1153",1153,"Q2-2014","Q2","6-2014",41802,-225099.981099978,2.16,0,3.40999999999997,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1154",1154,"Q2-2014","Q2","6-2014",41803,113583.065583061,0.289999999999992,5,0.710000000000036,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1155",1155,"Q2-2014","Q2","6-2014",41806,-94775.2787752822,0.0300000000000011,-15,-2.11000000000001,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1156",1156,"Q2-2014","Q2","6-2014",41807,-133170.289170284,-0.569999999999993,15,-0.120000000000005,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1157",1157,"Q2-2014","Q2","6-2014",41808,63209.9792099744,-0.310000000000002,-15,-2.22000000000003,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1158",1158,"Q2-2014","Q2","6-2014",41809,-550703.080703076,0.439999999999998,110,-2.67999999999995,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1159",1159,"Q2-2014","Q2","6-2014",41810,164678.132678133,0.870000000000005,-15,-6.57000000000005,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1160",1160,"Q2-2014","Q2","6-2014",41813,-263868.077868078,-1.12,25,5.13999999999999,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1161",1161,"Q2-2014","Q2","6-2014",41814,98255.9062559009,-0.189999999999998,-25,3.82000000000005,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1162",1162,"Q2-2014","Q2","6-2014",41815,-120905.688905686,0.400000000000006,20,2.52999999999997,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1163",1163,"Q2-2014","Q2","6-2014",41816,68227.1782271825,-0.550000000000011,0,4.13,0.00480000000000003,21.2,0,0.02144054625905,5.96
